title,digital,status,existing_match,source_tmdbId,source_year,notes,tmdbId,tmdbTitle,tmdbOriginalTitle,tmdbYear,tmdbReleaseDate,tmdbOverview,tmdbPosterPath,tmdbBackdropPath,match_type,confidence,review
Aquaman,Fandango | Movies Anywhere,MATCH_EXISTING,Aquaman,297802,2018,,297802,Aquaman,Aquaman,2018,2018-12-07,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,EXISTING_TMDB_ID,CONFIDENT,
Batman Begins,Fandango | Movies Anywhere,MATCH_EXISTING,Batman Begins,272,2005,,272,Batman Begins,Batman Begins,2005,2005-06-10,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,/9IIBboV7MCT0bTxzXHmWK1Hq558.jpg,EXISTING_TMDB_ID,CONFIDENT,
Batman v Superman: Dawn of Justice,Fandango | Movies Anywhere | Prime,MATCH_EXISTING,Batman v Superman: Dawn of Justice,209112,2016,,209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,2016-03-23,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,/5fX1oSGuYdKgwWmUTAN5MNSQGzr.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Batman, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Batman, The",414906,2022,,414906,The Batman,The Batman,2022,2022-03-01,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",/74xTEgt7R36Fpooo50r9T25onhq.jpg,/rvtdN5XkWAfGX6xDuPL6yYS2seK.jpg,EXISTING_TMDB_ID,CONFIDENT,
Baywatch,Fandango,MATCH_EXISTING,Baywatch,339846,2017,,339846,Baywatch,Baywatch,2017,2017-05-25,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg,/6QmX2BDVr1hIOIPHqnxvp1C1ZZp.jpg,EXISTING_TMDB_ID,CONFIDENT,
Beauty and the Beast,Fandango | Movies Anywhere,MATCH_EXISTING,Beauty and the Beast,321612,2017,,321612,Beauty and the Beast,Beauty and the Beast,2017,2017-03-16,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,/uU1Mt4JWhDvl4vKb3AfxNsorkoM.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Beekeeper, The",Fandango,MATCH_EXISTING,"Beekeeper, The",866398,2024,,866398,The Beekeeper,The Beekeeper,2024,2024-01-08,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,/A7EByudX0eOzlkQ2FIbogzyazm2.jpg,/f0ACHVpV707zqu4etZrXnWNdSgL.jpg,EXISTING_TMDB_ID,CONFIDENT,
Begin Again,Fandango | Movies Anywhere,MATCH_EXISTING,Begin Again,198277,2014,,198277,Begin Again,Begin Again,2014,2014-06-27,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",/qx4HXHXt528hS4rwePZbZo20xqZ.jpg,/xrSRmL6pXnRfu9vKwayILkNgLP.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Best Christmas Pageant Ever, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Best Christmas Pageant Ever, The",1206617,2024,,1206617,The Best Christmas Pageant Ever,The Best Christmas Pageant Ever,2024,2024-11-07,"The Herdman kids are undeniably the worst kids in the history of the world. They lie, steal, cheat, bully and overall terrorize their small community. But this Christmas, they're taking over their local church Pageant – and they just might unwittingly teach a shocked little town the true meaning of Christmas.",/6XjvhydAlXbQodoWbIf77H0Dd9R.jpg,/1AIwhOIMktmgesIqNcwUsQWYLl5.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Bodyguard, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Bodyguard, The",619,1992,,619,The Bodyguard,The Bodyguard,1992,1992-11-25,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",/ihWF0uY1xnKqw9YK7ZHNLUZOhcO.jpg,/bJyb7Bk9PLUslPggangniTBLzHO.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Bourne Identity, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Bourne Identity, The",2501,2002,,2501,The Bourne Identity,The Bourne Identity,2002,2002-06-14,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,/zxYp7GhqzcNqNSkjHoOdx0BEtOM.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Bourne Legacy, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Bourne Legacy, The",49040,2012,,49040,The Bourne Legacy,The Bourne Legacy,2012,2012-08-08,New CIA operative Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.,/1aExL5DTGHj25ZfIC3dDwS84RWi.jpg,/akNBILfG0vh7WhuzjA1bXfrgpYI.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Bourne Supremacy, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Bourne Supremacy, The",2502,2004,,2502,The Bourne Supremacy,The Bourne Supremacy,2004,2004-07-23,"A CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",/jupG9sFT64YwM8PSkwkUD2wHcYD.jpg,/fE7RqvVHbGHjBC9NjIjlLh2t4zK.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Bourne Ultimatum, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Bourne Ultimatum, The",2503,2007,,2503,The Bourne Ultimatum,The Bourne Ultimatum,2007,2007-08-03,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,/qiBILuWhv7ipF0pxiEqIJdkQzj8.jpg,EXISTING_TMDB_ID,CONFIDENT,
Brave,Fandango | Movies Anywhere,MATCH_EXISTING,Brave,62177,2012,,62177,Brave,Brave,2012,2012-06-21,"In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg,/qx9ts2hBYJrkIQxhryitxnLlm2u.jpg,EXISTING_TMDB_ID,CONFIDENT,
Bullet to the Head,Fandango | Movies Anywhere,MATCH_EXISTING,Bullet to the Head,70074,2012,,70074,Bullet to the Head,Bullet to the Head,2012,2012-11-14,"After watching their respective partners die, a cop and a hitman form an alliance in order to bring down their common enemy.",/arJfxShfuZPhqfBZZU6DkPZfnjn.jpg,/bXO410CYaMaoIGecgS7bcAlr5T9.jpg,EXISTING_TMDB_ID,CONFIDENT,
Christmas with the Kranks,Fandango | Movies Anywhere,MATCH_EXISTING,Christmas with the Kranks,13673,2004,,13673,Christmas with the Kranks,Christmas with the Kranks,2004,2004-11-24,"When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair calls on Christmas Eve to announce a surprise visit with her new fiancée, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!",/q866vL3KhAjbkZH1enT7AoxmRHx.jpg,/lcFar2tdF9Lir12R0K3Dvw6uABu.jpg,EXISTING_TMDB_ID,CONFIDENT,
Cinderella,Fandango,MATCH_EXISTING,Cinderella,150689,2015,"Title variant normalized to existing movie record; per your rule, assume same version.",150689,Cinderella,Cinderella,2015,2015-03-06,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",/j91LJmcWo16CArFOoapsz84bwxb.jpg,/q7vmCCmyiHnuKGMzHZlr0fD44b9.jpg,EXISTING_TMDB_ID,CONFIDENT,
Creed,Fandango,MATCH_EXISTING,Creed,312221,2015,,312221,Creed,Creed,2015,2015-11-25,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,/kODNw6GJNdgldUMEhKPlCw8wQCr.jpg,EXISTING_TMDB_ID,CONFIDENT,
Creed II,Fandango,MATCH_EXISTING,Creed II,480530,2018,,480530,Creed II,Creed II,2018,2018-11-21,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,/9il7qNbeYnPMYlutsVYDsj4hRyb.jpg,EXISTING_TMDB_ID,CONFIDENT,
Creed III,Fandango,MATCH_EXISTING,Creed III,677179,2023,,677179,Creed III,Creed III,2023,2023-03-01,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,/gOIztYywR291pC4k3IpDq7Vj3Kj.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Dark Knight Rises, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Dark Knight Rises, The",49026,2012,,49026,The Dark Knight Rises,The Dark Knight Rises,2012,2012-07-17,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,/y2DB71C4nyIdMrANijz8mzvQtk6.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Dark Knight, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Dark Knight, The",155,2008,,155,The Dark Knight,The Dark Knight,2008,2008-07-16,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/9FE5eD92WfVCiivM9Pq9GVSrlWk.jpg,EXISTING_TMDB_ID,CONFIDENT,
Dawn of the Planet of the Apes,Fandango | Movies Anywhere,MATCH_EXISTING,Dawn of the Planet of the Apes,119450,2014,,119450,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014,2014-07-08,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",/mSmAc9G25fhOHH45SLEeagR0qi7.jpg,/3SozaNPOYUadcmTPgndDibMyDNC.jpg,EXISTING_TMDB_ID,CONFIDENT,
Deadpool,Fandango | Movies Anywhere,MATCH_EXISTING,Deadpool,293660,2016,,293660,Deadpool,Deadpool,2016,2016-02-09,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,/en971MEXui9diirXlogOrPKmsEn.jpg,EXISTING_TMDB_ID,CONFIDENT,
Demolition Man,Fandango | Movies Anywhere,MATCH_EXISTING,Demolition Man,9739,1993,,9739,Demolition Man,Demolition Man,1993,1993-10-08,"In 1996, brash L.A. detective John Spartan and maniac killer Simon Phoenix are both sentenced to decades in a cryogenic prison as punishment for a rescue mission gone wrong. When Phoenix escapes 36 years later to wreak havoc on the future, Spartan is awakened to capture his nemesis the old-fashioned way.",/dq6AmlVFo92PRuoLCcIyFdoRuxf.jpg,/4pl165EUdvveHCr4J4YcHVA1MnD.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Devil Wears Prada, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Devil Wears Prada, The",350,2006,,350,The Devil Wears Prada,The Devil Wears Prada,2006,2006-06-29,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",/8912AsVuS7Sj915apArUFbv6F9L.jpg,/gkh6Nt8DtY1XT4gQsyFq9XAVJlJ.jpg,EXISTING_TMDB_ID,CONFIDENT,
Die Hard 5: A Good Day to Die Hard,Fandango | Movies Anywhere,MATCH_EXISTING,Die Hard 5: A Good Day to Die Hard,47964,2013,"Title variant normalized to existing movie record; per your rule, assume same version.",47964,A Good Day to Die Hard,A Good Day to Die Hard,2013,2013-02-06,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",/qJ0csDXAVFMsNn0cRcjy6W6PxAK.jpg,/wFUkS5cnMf3I8ysIPWzIXpTsuR7.jpg,EXISTING_TMDB_ID,CONFIDENT,
Divergent Saga: Allegiant,Fandango,MATCH_EXISTING,Divergent Saga: Allegiant,262504,2016,"Title variant normalized to existing movie record; per your rule, assume same version.",262504,Allegiant,Allegiant,2016,2016-03-09,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,/faq9JlF8znUGQ5p3En1W61Fi5p0.jpg,/qSP072apfe2EEcd5Qg9vGYy2OLw.jpg,EXISTING_TMDB_ID,CONFIDENT,
Divergent Saga: Insurgent,Fandango,MATCH_EXISTING,Divergent Saga: Insurgent,262500,2015,"Title variant normalized to existing movie record; per your rule, assume same version.",262500,Insurgent,Insurgent,2015,2015-03-18,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,/8YNNyQiPZlF9qv5EGOUK20mnXVk.jpg,EXISTING_TMDB_ID,CONFIDENT,
Dredd,Fandango | Movies Anywhere,MATCH_EXISTING,Dredd,49049,2012,,49049,Dredd,Dredd,2012,2012-09-07,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",/wLx65gtGVnUFCxceHWGszcruCZj.jpg,/jUqDBi02CDjqrroC3Zl8hroBbSr.jpg,EXISTING_TMDB_ID,CONFIDENT,
Dumb and Dumber To,Fandango | Movies Anywhere,MATCH_EXISTING,Dumb and Dumber To,100042,2014,,100042,Dumb and Dumber To,Dumb and Dumber To,2014,2014-11-12,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",/cvEi0xV7TUkabJGuzulhvbMjrHi.jpg,/rYaADjAB6trEToo452FfVMoAdgl.jpg,EXISTING_TMDB_ID,CONFIDENT,
Elf,Fandango | Movies Anywhere,MATCH_EXISTING,Elf,10719,2003,,10719,Elf,Elf,2003,2003-11-07,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",/oOleziEempUPu96jkGs0Pj6tKxj.jpg,/5nhp41gx49vXjwXuDXJwQrRFsng.jpg,EXISTING_TMDB_ID,CONFIDENT,
Ender's Game,Fandango,MATCH_EXISTING,Ender's Game,80274,2013,,80274,Ender's Game,Ender's Game,2013,2013-10-24,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",/pVcRI5YKnkkgaAD876jBeKb189d.jpg,/zWvOs6lepfOI0dPa1ANVcdbkBuY.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Expendables 2, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Expendables 2, The",76163,2012,"Title variant normalized to existing movie record; per your rule, assume same version.",76163,The Expendables 2,The Expendables 2,2012,2012-08-15,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",/74rTIGyGoIu5KSxDVMdr8H3MtMo.jpg,/ihKsZZYMbyHXC1L7s90WDLITdC5.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Expendables, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Expendables, The",27578,2010,"Title variant normalized to existing movie record; per your rule, assume same version.",27578,The Expendables,The Expendables,2010,2010-08-07,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",/j09ZkH6R4JWVylBcDai1laCmGw7.jpg,/yBv9RxlWPXRCvjMFsrmB1pxwWo6.jpg,EXISTING_TMDB_ID,CONFIDENT,
Fast & Furious: Fast 6,Fandango | Movies Anywhere,MATCH_EXISTING,Fast & Furious: Fast 6,82992,2013,"Title variant normalized to existing movie record; per your rule, assume same version.",82992,Fast & Furious 6,Fast & Furious 6,2013,2013-05-21,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",/thSmnRdrzPBBospIOJjLZBReqzo.jpg,/xDp29MSWa7O3ROC13r6dPTFnREJ.jpg,EXISTING_TMDB_ID,CONFIDENT,
Field of Dreams,Fandango | Movies Anywhere,MATCH_EXISTING,Field of Dreams,2323,1989,,2323,Field of Dreams,Field of Dreams,1989,1989-04-21,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",/oeM7nAw6FVFICwUaXKCRkDsKjqO.jpg,/g5gwbwR98yN1TvycqHCJZhCPa7O.jpg,EXISTING_TMDB_ID,CONFIDENT,
Final Destination,Fandango | Movies Anywhere,MATCH_EXISTING,Final Destination,9532,2000,,9532,Final Destination,Final Destination,2000,2000-03-17,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",/1mXhlQMnlfvJ2frxTjZSQNnA9Vp.jpg,/7isarjYDEKZ5t1CgcvbuqEUby8P.jpg,EXISTING_TMDB_ID,CONFIDENT,
Final Destination 2,Fandango | Movies Anywhere,MATCH_EXISTING,Final Destination 2,9358,2003,,9358,Final Destination 2,Final Destination 2,2003,2003-01-31,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",/vnFgxRlLTA9fDNcGXLiHmgwmIEo.jpg,/tKnmfO5lAyu8hpTZMyMaI4lhZpJ.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Flash, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Flash, The",298618,2023,"Title variant normalized to existing movie record; per your rule, assume same version.",298618,The Flash,The Flash,2023,2023-06-13,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,EXISTING_TMDB_ID,CONFIDENT,
