title	digital	status	existing_match	tmdbId	year	notes
Hunger Games: Mockingjay - Part 1, The	Fandango	MATCH_EXISTING	Hunger Games: Mockingjay - Part 1, The	131631	2014	Title variant normalized to existing movie record; per your rule, assume same version.
Hunger Games: Mockingjay - Part 2, The	Fandango | Movies Anywhere	MATCH_EXISTING	Hunger Games: Mockingjay - Part 2, The	131634	2015	Title variant normalized to existing movie record; per your rule, assume same version.
Ice Age	Fandango | Movies Anywhere	MATCH_EXISTING	Ice Age	425	2002	
In Bruges	Fandango | Movies Anywhere	MATCH_EXISTING	In Bruges	8321	2008	
Inception	Fandango | Movies Anywhere	MATCH_EXISTING	Inception	27205	2010	
Incredible Burt Wonderstone, The	Fandango | Movies Anywhere | Prime	MATCH_EXISTING	Incredible Burt Wonderstone, The	124459	2013	Digital title/edition normalized into existing movie record.
Inside Out	Fandango | Movies Anywhere	MATCH_EXISTING	Inside Out	150540	2015	
Iron Man 3	Fandango | Movies Anywhere	MATCH_EXISTING	Iron Man 3	68721	2013	
Jerry Maguire	Fandango | Movies Anywhere	MATCH_EXISTING	Jerry Maguire	9390	1996	
Jingle All the Way	Fandango | Movies Anywhere	MATCH_EXISTING	Jingle All the Way	9279	1996	
John Wick	Fandango | Movies Anywhere	MATCH_EXISTING	John Wick	245891	2014	
John Wick: Chapter 2	Fandango | Movies Anywhere | Prime	MATCH_EXISTING	John Wick: Chapter 2	324552	2017	Title variant normalized to existing movie record; per your rule, assume same version.
John Wick: Chapter 3 - Parabellum	Fandango	MATCH_EXISTING	John Wick: Chapter 3 - Parabellum	458156	2019	
John Wick: Chapter 4	Fandango	MATCH_EXISTING	John Wick: Chapter 4	603692	2023	
Jumanji: The Next Level	Fandango | Movies Anywhere	MATCH_EXISTING	Jumanji: The Next Level	512200	2019	
Jumanji: Welcome to the Jungle	Fandango | Movies Anywhere	MATCH_EXISTING	Jumanji: Welcome to the Jungle	353486	2017	
Jurassic Park	Fandango | Movies Anywhere	MATCH_EXISTING	Jurassic Park	329	1993	
Jurassic Park III	Fandango | Movies Anywhere	MATCH_EXISTING	Jurassic Park III	331	2001	
Jurassic World	Fandango | Movies Anywhere	MATCH_EXISTING	Jurassic World	135397	2015	
Jurassic World Dominion	Fandango | Movies Anywhere	MATCH_EXISTING	Jurassic World Dominion	507086	2022	
Jurassic World: Fallen Kingdom	Fandango | Movies Anywhere	MATCH_EXISTING	Jurassic World: Fallen Kingdom	351286	2018	
Justice League	Fandango | Movies Anywhere	MATCH_EXISTING	Justice League	141052	2017	
Kick-Ass	Fandango | Movies Anywhere	MATCH_EXISTING	Kick-Ass	23483	2010	
Kick-Ass 2	Fandango | Movies Anywhere	MATCH_EXISTING	Kick-Ass 2	59859	2013	
Kingsman: The Secret Service	Fandango | Movies Anywhere	MATCH_EXISTING	Kingsman: The Secret Service	207703	2015	
Knight and Day	Fandango | Movies Anywhere	MATCH_EXISTING	Knight and Day	37834	2010	
Last Holiday	Fandango	MATCH_EXISTING	Last Holiday	17379	2006	
Legends of the Fall	Fandango | Movies Anywhere	MATCH_EXISTING	Legends of the Fall	4476	1994	
Lego Batman Movie, The	Fandango | Movies Anywhere	MATCH_EXISTING	Lego Batman Movie, The	324849	2017	Title variant normalized to existing movie record; per your rule, assume same version.
Lego Movie 2: The Second Part, The	Fandango | Movies Anywhere	MATCH_EXISTING	Lego Movie 2: The Second Part, The	280217	2019	Title variant normalized to existing movie record; per your rule, assume same version.
Lego Movie, The	Fandango | Movies Anywhere	MATCH_EXISTING	Lego Movie, The	137106	2014	Title variant normalized to existing movie record; per your rule, assume same version.
Love Actually	Fandango | Movies Anywhere	MATCH_EXISTING	Love Actually	508	2003	
Love the Coopers	Fandango | Movies Anywhere	MATCH_EXISTING	Love the Coopers	333348	2015	
Maggie	Fandango | Movies Anywhere	MATCH_EXISTING	Maggie	287424	2015	
Major League	Fandango	MATCH_EXISTING	Major League	9942	1989	
Maleficent	Fandango | Movies Anywhere	MATCH_EXISTING	Maleficent	102651	2014	
Man of Steel	Fandango | Movies Anywhere	MATCH_EXISTING	Man of Steel	49521	2013	
Matchstick Men	Fandango | Movies Anywhere	MATCH_EXISTING	Matchstick Men	7270	2003	
Matrix, The	Fandango | Movies Anywhere	MATCH_EXISTING	Matrix, The	603	1999	
Mechanic, The	Fandango | Movies Anywhere	MATCH_EXISTING	Mechanic, The	27582	2011	
Meg 2: The Trench	Fandango | Movies Anywhere	MATCH_EXISTING	Meg 2: The Trench	615656	2023	
Meg, The	Fandango | Movies Anywhere	MATCH_EXISTING	Meg, The	345940	2018	
Mike and Dave Need Wedding Dates	Fandango | Movies Anywhere	MATCH_EXISTING	Mike and Dave Need Wedding Dates	316023	2016	
Minority Report	Fandango	MATCH_EXISTING	Minority Report	180	2002	
Mission: Impossible - Ghost Protocol	Fandango	MATCH_EXISTING	Mission: Impossible - Ghost Protocol	56292	2011	
Moneyball	Fandango | Movies Anywhere	MATCH_EXISTING	Moneyball	60308	2011	
Monsters, Inc.	Fandango	MATCH_EXISTING	Monsters, Inc.	585	2001	
Mortal Kombat	Fandango | Movies Anywhere	MATCH_EXISTING	Mortal Kombat	460465	2021	
Mr. Right	Fandango | Movies Anywhere	MATCH_EXISTING	Mr. Right	333385	2016	
Mummy Returns, The	Fandango | Movies Anywhere	MATCH_EXISTING	Mummy Returns, The	1734	2001	Title variant normalized to existing movie record; per your rule, assume same version.
Mummy, The	Fandango | Movies Anywhere	MATCH_EXISTING	Mummy, The	564	1999	Title variant normalized to existing movie record; per your rule, assume same version.
Mummy: Tomb of the Dragon Emperor, The	Fandango | Movies Anywhere	MATCH_EXISTING	Mummy: Tomb of the Dragon Emperor, The	1735	2008	Title variant normalized to existing movie record; per your rule, assume same version.
National Lampoon's Christmas Vacation	Fandango | Movies Anywhere	MATCH_EXISTING	National Lampoon's Christmas Vacation	5825	1989	
Natural, The	Fandango | Movies Anywhere	MATCH_EXISTING	Natural, The	11393	1984	Title variant normalized to existing movie record; per your rule, assume same version.
Night Before, The	Fandango | Movies Anywhere	MATCH_EXISTING	Night Before, The	38966	1988	Title variant normalized to existing movie record; per your rule, assume same version.
Now You See Me	Fandango | Movies Anywhere	MATCH_EXISTING	Now You See Me	75656	2013	
Now You See Me 2	Fandango | Movies Anywhere	MATCH_EXISTING	Now You See Me 2	291805	2016	
Now You See Me, Now You Don't	Fandango | Movies Anywhere	MATCH_EXISTING	Now You See Me, Now You Don't	425274	2025	
Ocean's 8	Fandango | Movies Anywhere	MATCH_EXISTING	Ocean's 8	402900	2018	
Ocean's Eleven	Fandango | Movies Anywhere | Prime	MATCH_EXISTING	Ocean's Eleven	161	2001	
Ocean's Thirteen	Fandango | Movies Anywhere	MATCH_EXISTING	Ocean's Thirteen	298	2007	
Ocean's Twelve	Fandango | Movies Anywhere	MATCH_EXISTING	Ocean's Twelve	163	2004	
Office Christmas Party	Fandango	MATCH_EXISTING	Office Christmas Party	384682	2016	
Pan	Fandango | Movies Anywhere	MATCH_EXISTING	Pan	266647	2015	
Pitch Perfect	Fandango | Movies Anywhere	MATCH_EXISTING	Pitch Perfect	114150	2012	
Pitch Perfect 2	Fandango | Movies Anywhere	MATCH_EXISTING	Pitch Perfect 2	254470	2015	
Pitch Perfect 3	Fandango | Movies Anywhere	MATCH_EXISTING	Pitch Perfect 3	353616	2017	
Planes, Trains and Automobiles	Fandango	MATCH_EXISTING	Planes, Trains and Automobiles	2609	1987	
Polar Express, The	Fandango | Movies Anywhere	MATCH_EXISTING	Polar Express, The	5255	2004	Title variant normalized to existing movie record; per your rule, assume same version.
Rambo	Fandango | Movies Anywhere	MATCH_EXISTING	Rambo	7555	2008	
Return to Never Land	Fandango	MATCH_EXISTING	Return to Never Land	16690	2002	
Riddick	Fandango | Movies Anywhere	MATCH_EXISTING	Riddick	87421	2013	
Rise of the Planet of the Apes	Fandango | Movies Anywhere	MATCH_EXISTING	Rise of the Planet of the Apes	61791	2011	
Rock of Ages	Fandango | Movies Anywhere	MATCH_EXISTING	Rock of Ages	80585	2012	
Rocky Balboa	Fandango	MATCH_EXISTING	Rocky Balboa	1246	2006	
Rounders	Prime	MATCH_EXISTING	Rounders	10220	1998	
Rudy	Fandango | Movies Anywhere	MATCH_EXISTING	Rudy	14534	1993	
Shazam!	Fandango | Movies Anywhere | Prime	MATCH_EXISTING	Shazam!	287947	2019	
Sherlock Holmes: A Game of Shadows	Fandango | Movies Anywhere	MATCH_EXISTING	Sherlock Holmes: A Game of Shadows	58574	2011	
Sing	Fandango | Movies Anywhere	MATCH_EXISTING	Sing	335797	2016	
Sonic the Hedgehog	Fandango	MATCH_EXISTING	Sonic the Hedgehog	454626	2020	
Sonic the Hedgehog 2	Fandango	MATCH_EXISTING	Sonic the Hedgehog 2	675353	2022	
Sonic the Hedgehog 3	Fandango	MATCH_EXISTING	Sonic the Hedgehog 3	939243	2024	
Speed	Fandango | Movies Anywhere	MATCH_EXISTING	Speed	1637	1994	
Spy	Fandango | Movies Anywhere	MATCH_EXISTING	Spy	238713	2015	
Star Trek Into Darkness	Fandango	MATCH_EXISTING	Star Trek Into Darkness	54138	2013	
Suicide Squad	Fandango | Movies Anywhere	MATCH_EXISTING	Suicide Squad	297761	2016	
Sweeney Todd: The Demon Barber of Fleet Street	Fandango	MATCH_EXISTING	Sweeney Todd: The Demon Barber of Fleet Street	13885	2007	
Tango & Cash	Fandango | Movies Anywhere	MATCH_EXISTING	Tango & Cash	9618	1989	
That's My Boy	Fandango | Movies Anywhere	MATCH_EXISTING	That's My Boy	87428	2012	
Thor: The Dark World	Fandango | Movies Anywhere	MATCH_EXISTING	Thor: The Dark World	76338	2013	
Top Gun: Maverick	Fandango	MATCH_EXISTING	Top Gun: Maverick	361743	2022	
Total Recall	Fandango | Movies Anywhere	MATCH_EXISTING	Total Recall	861	1990	
Transformers: Age of Extinction	Fandango	MATCH_EXISTING	Transformers: Age of Extinction	91314	2014	
Transformers: The Last Knight	Fandango	MATCH_EXISTING	Transformers: The Last Knight	335988	2017	
Trolls	Fandango | Movies Anywhere	MATCH_EXISTING	Trolls	136799	2016	
Trouble with the Curve	Fandango | Movies Anywhere	MATCH_EXISTING	Trouble with the Curve	87825	2012	
True Lies	Fandango | Movies Anywhere	MATCH_EXISTING	True Lies	36955	1994	
Twilight Saga: Breaking Dawn - Part 1, The	Fandango	MATCH_EXISTING	Twilight Saga: Breaking Dawn - Part 1, The	50619	2011	
Twilight Saga: Breaking Dawn - Part 2, The	Fandango | Movies Anywhere	MATCH_EXISTING	Twilight Saga: Breaking Dawn - Part 2, The	50620	2012	Title variant normalized to existing movie record; per your rule, assume same version.
Underworld: Awakening	Fandango | Movies Anywhere	MATCH_EXISTING	Underworld: Awakening	52520	2012	Title variant normalized to existing movie record; per your rule, assume same version.
V for Vendetta	Fandango | Movies Anywhere	MATCH_EXISTING	V for Vendetta	752	2006	
Violent Night	Fandango | Movies Anywhere	MATCH_EXISTING	Violent Night	899112	2022	
Warrior	Fandango | Movies Anywhere	MATCH_EXISTING	Warrior	59440	2011	
Wayne's World	Fandango	MATCH_EXISTING	Wayne's World	8872	1992	
Wayne's World 2	Fandango	MATCH_EXISTING	Wayne's World 2	8873	1993	
We're the Millers	Fandango | Movies Anywhere	MATCH_EXISTING	We're the Millers	138832	2013	
Wicked	Fandango | Movies Anywhere	MATCH_EXISTING	Wicked	402431	2024	
Wicked: For Good	Fandango | Movies Anywhere	MATCH_EXISTING	Wicked: For Good	967941	2025	
Willy Wonka & the Chocolate Factory	Fandango | Movies Anywhere	MATCH_EXISTING	Willy Wonka & the Chocolate Factory	252	1971	Title variant normalized to existing movie record; per your rule, assume same version.
Wonder Woman	Fandango | Movies Anywhere	MATCH_EXISTING	Wonder Woman	297762	2017	
Wonka	Fandango | Movies Anywhere	MATCH_EXISTING	Wonka	787699	2023	
Wrath of Man	Fandango	MATCH_EXISTING	Wrath of Man	637649	2021	
X-Men: Days of Future Past	Fandango | Movies Anywhere	MATCH_EXISTING	X-Men: Days of Future Past	127585	2014	
Aladdin	Fandango | Movies Anywhere	REVIEW_VERSION	Aladdin	420817	2019	Existing catalog record is TMDB 420817 (2019). Digital list also contains unqualified "Aladdin" from Fandango; keep 2019 assumption for now, but flag because the unqualified title could be the 1992 film.
Rambo: First Blood	Fandango | Movies Anywhere | Prime	REVIEW_VERSION	Rambo: First Blood	1368	1976	Existing record is TMDB 1368 (1976), titled "Rambo: First Blood"; digital title is commonly used for the same film, but verify if desired.
2001: A Space Odyssey	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
300: Rise of an Empire	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
A Bad Moms Christmas	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
A Clockwork Orange	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
A Knight's Tale	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
A Merry Friggin' Christmas	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
A Very Nutty Christmas	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Addams Family Values	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Aladdin and the King of Thieves	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Aladdin: The Return of Jafar	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Anna	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Annie	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Anyone But You	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Away From Her	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bad Boys: Ride or Die	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bad Santa 2 Unrated	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bad Times at The El Royale	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Ballerina: From the World of John Wick	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Barbie	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Barry Lyndon	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Basic Instinct	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Batman & Mr. Freeze: Sub-Zero	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Batman: Mask of the Phantasm	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Behind Enemy Lines	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Being John Malkovich	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Big Hero 6	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Big Trouble In Little China	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bill & Ted Face the Music	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bill and Ted's Bogus Journey	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Bill and Ted's Excellent Adventure	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Blade Runner 2049	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Boogie Nights	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Carrie (1976)	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Catch Me if You Can	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Chicago	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Christmas in Connecticut	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Clerks III	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Clue	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Cold Pursuit	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Conan The Barbarian	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Cowboys & Aliens	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Crazy, Stupid, Love	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Daylight	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Dear Santa	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Death Becomes Her	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Death Race 2	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Divergent	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Dogma	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Dr. Seuss' The Lorax	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Dungeons & Dragons: Honor Among Thieves	Prime	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Easy A	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Eraser	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Escape Plan	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Eyes Wide Shut	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
F9 The Fast Saga	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
F9 The Fast Saga: The Director's Cut	Fandango	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Family Plot	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Fantastic Beasts and Where to Find Them	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Fantastic Beasts: The Crimes Of Grindelwald	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
Fast & Furious	Fandango | Movies Anywhere	NEW_TMDB				No reliable existing catalog match; fetch TMDB and create a new record.
